Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
Marijuana Policy Project,Marijuana Policy Project,SECOND QUARTER REPORT,"$13,000.00 ",7/8/14,2014
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,FIRST QUARTER REPORT,Ê,5/19/14,2014
Marijuana Policy Project,Marijuana Policy Project,FIRST QUARTER REPORT,"$11,000.00 ",4/21/14,2014
Marijuana Policy Project,Marijuana Policy Project,FOURTH QUARTER REPORT,"$10,000.00 ",1/21/14,2013
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,FOURTH QUARTER REPORT,Ê,1/8/14,2013
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,THIRD QUARTER AMENDMENT,Ê,11/1/13,2013
Marijuana Policy Project,Marijuana Policy Project,THIRD QUARTER REPORT,"$8,000.00 ",10/10/13,2013
Marijuana Policy Project,Marijuana Policy Project,SECOND QUARTER REPORT,"$10,000.00 ",7/18/13,2013
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,FIRST QUARTER REPORT,Ê,7/1/13,2013
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,SECOND QUARTER REPORT,Ê,7/1/13,2013
Marijuana Policy Project,Marijuana Policy Project,FIRST QUARTER REPORT,Ê,4/22/13,2013
Marijuana Policy Project,Marijuana Policy Project,FOURTH QUARTER REPORT,Ê,1/30/13,2012
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,FOURTH QUARTER REPORT,Ê,1/30/13,2012
Marijuana Policy Project,Marijuana Policy Project,THIRD QUARTER REPORT,Ê,10/22/12,2012
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,THIRD QUARTER REPORT,Ê,10/19/12,2012
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,SECOND QUARTER REPORT,Ê,8/24/12,2012
Marijuana Policy Project,Marijuana Policy Project,SECOND QUARTER REPORT,Ê,7/13/12,2012
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,FIRST QUARTER REPORT,Ê,5/2/12,2012
Marijuana Policy Project,Marijuana Policy Project,FIRST QUARTER REPORT,Ê,4/9/12,2012
Marijuana Policy Project,Marijuana Policy Project,FOURTH QUARTER REPORT,Ê,1/24/12,2011
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,FOURTH QUARTER AMENDMENT,Ê,1/13/12,2011
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,FOURTH QUARTER REPORT,Ê,1/13/12,2011
Marijuana Policy Project,Marijuana Policy Project,THIRD QUARTER REPORT,Ê,10/25/11,2011
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,THIRD QUARTER REPORT,Ê,10/14/11,2011
Marijuana Policy Project,Marijuana Policy Project,SECOND QUARTER REPORT,"$8,000.00 ",7/20/11,2011
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,FIRST QUARTER REPORT,Ê,7/15/11,2011
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,SECOND QUARTER REPORT,Ê,7/15/11,2011
Marijuana Policy Project,Marijuana Policy Project,FIRST QUARTER REPORT,Ê,5/2/11,2011
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,FOURTH QUARTER REPORT,Ê,2/1/11,2010
Marijuana Policy Project,Marijuana Policy Project,FOURTH QUARTER REPORT,"$5,000.00 ",1/20/11,2010
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,THIRD QUARTER REPORT,Ê,12/13/10,2010
Marijuana Policy Project,Marijuana Policy Project,THIRD QUARTER REPORT,"$5,000.00 ",10/18/10,2010
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,SECOND QUARTER REPORT,Ê,9/23/10,2010
Marijuana Policy Project,Marijuana Policy Project,SECOND QUARTER REPORT,"$25,000.00 ",7/20/10,2010
Marijuana Policy Project,Marijuana Policy Project,FIRST QUARTER AMENDMENT,"$25,000.00 ",6/29/10,2010
Marijuana Policy Project,Marijuana Policy Project,FOURTH QUARTER REPORT,"$25,000.00 ",4/19/10,2009
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,FOURTH QUARTER REPORT,Ê,2/12/10,2009
Marijuana Policy Project,Marijuana Policy Project,FOURTH QUARTER REPORT,"$48,333.00 ",1/20/10,2009
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,FIRST QUARTER REPORT,Ê,1/20/10,2010
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,THIRD QUARTER REPORT,Ê,10/23/09,2009
Marijuana Policy Project,Marijuana Policy Project,THIRD QUARTER REPORT,"$30,000.00 ",10/20/09,2009
Marijuana Policy Project,Marijuana Policy Project,SECOND QUARTER REPORT,"$20,000.00 ",7/20/09,2009
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,SECOND QUARTER REPORT,Ê,7/9/09,2009
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,SECOND QUARTER REPORT,Ê,7/9/09,2009
Marijuana Policy Project,Marijuana Policy Project,FIRST QUARTER REPORT,"$20,000.00 ",5/12/09,2009
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,FIRST QUARTER REPORT,Ê,4/29/09,2009
Marijuana Policy Project,Marijuana Policy Project,FOURTH QUARTER REPORT,"$25,000.00 ",1/21/09,2008
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,FOURTH QUARTER REPORT,Ê,12/30/08,2008
Marijuana Policy Project,Marijuana Policy Project,THIRD QUARTER REPORT,"$25,000.00 ",10/20/08,2008
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,THIRD QUARTER REPORT,Ê,10/3/08,2008
Marijuana Policy Project,Marijuana Policy Project,SECOND QUARTER REPORT,"$30,000.00 ",7/30/08,2008
Marijuana Policy Project,Marijuana Policy Project,SECOND QUARTER REPORT,"$30,000.00 ",7/21/08,2008
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,FIRST QUARTER REPORT,Ê,7/2/08,2008
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,SECOND QUARTER REPORT,Ê,7/2/08,2008
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,REGISTRATION AMENDMENT,Ê,7/1/08,2008
Marijuana Policy Project,Marijuana Policy Project,FIRST QUARTER REPORT,"$30,000.00 ",4/21/08,2008
Marijuana Policy Project,Marijuana Policy Project,FIRST QUARTER REPORT,"$30,000.00 ",4/21/08,2008
Marijuana Policy Project,Marijuana Policy Project,FIRST QUARTER REPORT,"$30,000.00 ",4/21/08,2008
Marijuana Policy Project,Marijuana Policy Project,FIRST QUARTER REPORT,"$30,000.00 ",4/21/08,2008
Marijuana Policy Project,Marijuana Policy Project,FIRST QUARTER REPORT,"$30,000.00 ",4/21/08,2008
Marijuana Policy Project,Marijuana Policy Project,YEAR-END REPORT,Ê,2/14/08,2007
Marijuana Policy Project,Marijuana Policy Project,YEAR-END REPORT,"$100,000.00 ",2/14/08,2007
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,YEAR-END REPORT,Ê,1/9/08,2007
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,YEAR-END REPORT,Ê,1/9/08,2007
Marijuana Policy Project,Marijuana Policy Project,MID-YEAR REPORT,"$100,000.00 ",8/14/07,2007
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,MID-YEAR REPORT,Ê,7/19/07,2007
Marijuana Policy Project,Marijuana Policy Project,YEAR-END REPORT,"$65,000.00 ",2/26/07,2006
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,YEAR-END REPORT,Ê,1/23/07,2006
Marijuana Policy Project,Marijuana Policy Project,YEAR-END REPORT,"$60,000.00 ",10/25/06,2005
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,YEAR-END REPORT,Ê,8/14/06,2005
Marijuana Policy Project,Marijuana Policy Project,MID-YEAR REPORT,"$65,000.00 ",8/10/06,2006
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,MID-YEAR REPORT,Ê,7/19/06,2006
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,MID-YEAR AMENDMENT,Ê,6/30/06,2006
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,MID-YEAR REPORT,Ê,6/30/06,2006
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,MID-YEAR REPORT,Ê,3/29/06,2005
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,MID-YEAR REPORT,Ê,3/27/06,2005
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,YEAR-END AMENDMENT,Ê,7/21/05,2004
Marijuana Policy Project,Marijuana Policy Project,MID-YEAR REPORT,"$60,000.00 ",7/7/05,2005
Marijuana Policy Project,Marijuana Policy Project,YEAR-END AMENDMENT,"$60,000.00 ",7/1/05,2004
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,YEAR-END REPORT,Ê,6/30/05,2004
Marijuana Policy Project,Marijuana Policy Project,YEAR-END REPORT,"$60,000.00 ",2/24/05,2004
Marijuana Policy Project,Marijuana Policy Project,MID-YEAR REPORT,"$60,000.00 ",9/1/04,2004
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,MID-YEAR REPORT,Ê,8/9/04,2004
Marijuana Policy Project,Marijuana Policy Project,YEAR-END REPORT,"$40,000.00 ",3/22/04,2003
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,YEAR-END REPORT,Ê,1/20/04,2003
Marijuana Policy Project,Marijuana Policy Project,MID-YEAR REPORT,"$40,000.00 ",8/20/03,2003
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,MID-YEAR REPORT,Ê,7/23/03,2003
Marijuana Policy Project,Marijuana Policy Project,YEAR-END REPORT,"$40,000.00 ",2/14/03,2002
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,YEAR-END REPORT,Ê,1/30/03,2002
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,MID-YEAR REPORT,Ê,9/5/02,2002
Marijuana Policy Project,Marijuana Policy Project,MID-YEAR REPORT,"$40,000.00 ",8/13/02,2002
Marijuana Policy Project,Marijuana Policy Project,REGISTRATION,Ê,5/16/02,2002
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,YEAR-END REPORT,Ê,3/4/02,2001
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,MID-YEAR REPORT,Ê,7/27/01,2001
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,YEAR-END REPORT,Ê,2/7/01,2000
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,MID-YEAR REPORT,Ê,8/7/00,2000
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,YEAR-END REPORT,Ê,1/28/00,1999
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,MID-YEAR REPORT,Ê,8/9/99,1999
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,REGISTRATION,Ê,1/26/99,1999
