NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,offensegroup,LONGITUDE,END_DATE,offense-text,SHIFT,YBLOCK,DISTRICT,WARD,YEAR,offensekey,BID,sector,PSA,ucr-rank,BLOCK_GROUP,VOTING_PRECINCT,XBLOCK,BLOCK,START_DATE,CCN,OFFENSE,OCTO_RECORD_ID,ANC,REPORT_DAT,METHOD,location,LATITUDE
cluster 32,009604,violent,-76.9580556016302,,assault w/dangerous weapon,evening,135772.42,6,7,2019,violent|assault w/dangerous weapon,,6D3,603,3,009604 1,precinct 132,403638.94,2300 - 3955 block of east capitol street,2019-04-16T20:39:32.000,19064727,assault w/dangerous weapon,19064727-01,7F,2019-04-17T02:13:40.000Z,others,"38.889794844956775,-76.958057871481728",38.8897870573208
cluster 38,007304,property,-76.981557186925,,theft/other,evening,130970,7,8,2019,property|theft/other,,7D2,704,6,007304 1,precinct 120,401601,1500 1699  block of alabama avenue se,2019-04-16T21:37:07.000,19064729,theft/other,19064729-01,8E,2019-04-17T02:12:57.000Z,others,"38.846538749597585,-76.981559461463362",38.8465309715677
cluster 21,009201,property,-76.9970981901552,,burglary,evening,140497.96,5,5,2019,property|burglary,,5D1,502,5,009201 1,precinct 74,400251.6,600 - 699 block of monroe street ne,2019-04-16T20:10:55.000,19064730,burglary,19064730-01,5E,2019-04-17T02:22:26.000Z,others,"38.932371619014042,-76.99710047476573",38.9323638242463
cluster 6,010700,property,-77.0434534469134,2019-04-16T22:45:39.000,theft f/auto,midnight,137578,2,2,2019,property|theft f/auto,golden triangle,2D3,208,7,010700 2,precinct 17,396231,1200 - 1219 block of 19th street nw,2019-04-16T16:45:59.000,19064785,theft f/auto,19064785-01,2B,2019-04-17T05:56:44.000Z,others,"38.906059613134431,-77.043455744352116",38.9060518253998
cluster 2,003200,property,-77.0188217892349,2019-04-16T20:50:07.000,theft f/auto,midnight,140178,4,1,2019,property|theft f/auto,,4D3,409,7,003200 4,precinct 38,398368,410 - 499 block of irving street nw,2019-04-16T18:00:05.000,19064786,theft f/auto,19064786-01,1A,2019-04-17T10:31:13.000Z,others,"38.929487840076597,-77.018824080435593",38.9294800467004
cluster 6,004201,property,-77.0374870891454,2019-03-23T04:39:39.000,theft/other,midnight,138793,3,2,2019,property|theft/other,,3D3,301,6,004201 1,precinct 141,396749,1600 - 1699 block of u street nw,2019-03-23T03:39:08.000,19048800,theft/other,19048800-01,2B,2019-03-23T08:39:32.000Z,others,"38.917006815881656,-77.037489385395645",38.9169990257176
cluster 15,000600,property,-77.0716940589795,2019-03-23T08:00:32.000,theft f/auto,day,140752,2,3,2019,property|theft f/auto,,2D1,203,7,000600 3,precinct 27,393784,3600 - 3699 block of newark street nw,2019-03-23T03:30:46.000,19048851,theft f/auto,19048851-01,3C,2019-03-23T13:57:18.000Z,others,"38.934638133698954,-77.071696366961007",38.9346303412601
cluster 2,003000,property,-77.0311150934337,2019-03-23T10:49:21.000,theft f/auto,day,139967,3,1,2019,property|theft f/auto,,3D1,302,7,003000 2,precinct 36,397302,1300 - 1399 block of columbia road nw,2019-03-22T08:00:55.000,19048860,theft f/auto,19048860-01,1A,2019-03-23T14:13:44.000Z,others,"38.927584459121704,-77.03111738834663",38.927576666588
cluster 30,009602,violent,-76.9472094662743,2019-03-23T12:53:07.000,robbery,day,137347,6,7,2019,violent|robbery,,6D1,601,4,009602 1,precinct 100,404579,3500 - 3899 block of jay street ne,2019-03-22T07:00:27.000,19048887,robbery,19048887-01,7D,2019-03-23T15:46:41.000Z,others,"38.903974841226997,-76.947211733610885",38.9039670503268
cluster 14,000300,property,-77.0787826277566,2019-03-23T13:20:33.000,theft/other,day,139120,2,3,2019,property|theft/other,,2D2,204,6,000300 2,precinct 11,393168,2200 - 2299 block of 40th street nw,2019-03-14T11:03:58.000,19048896,theft/other,19048896-01,3B,2019-03-23T17:20:11.000Z,others,"38.919931994485914,-77.078784937044091",38.9199242052749
cluster 7,005001,property,-77.0314307531651,2019-03-23T12:27:12.000,theft/other,day,138140,3,2,2019,property|theft/other,,3D3,307,6,005001 2,precinct 16,397274,1330 - 1399 block of q street nw,2019-03-23T11:40:13.000,19048910,theft/other,19048910-01,2F,2019-03-23T16:26:19.000Z,others,"38.911126157463315,-77.031433047169841",38.9111183682586
cluster 22,009102,property,-76.9937613602702,2019-03-27T22:36:48.000,theft/other,midnight,139301,5,5,2019,property|theft/other,,5D2,505,6,009102 2,precinct 72,400541,2300 - 2499 block of washington place ne,2019-03-27T21:32:57.000,19051855,theft/other,19051855-01,5C,2019-03-28T03:47:38.000Z,others,"38.92158889501443,-76.993763643182518",38.9215811022957
cluster 38,007409,property,-76.977698852593,2019-03-26T07:45:26.000,theft f/auto,day,130715,7,8,2019,property|theft f/auto,,7D2,704,7,007409 3,precinct 116,401936,3500 - 3599 block of 18th street se,2019-03-25T21:30:38.000,19051999,theft f/auto,19051999-01,8B,2019-03-28T13:06:39.000Z,others,"38.844240923038988,-76.977701125790418",38.8442331453298
cluster 30,009603,property,-76.9485994889128,2019-03-28T10:35:15.000,theft/other,day,136336,6,7,2019,property|theft/other,,6D1,602,6,009603 2,precinct 102,404459,3900 - 3919 block of benning road ne,2019-03-28T09:56:44.000,19052027,theft/other,19052027-01,7F,2019-03-28T14:50:43.000Z,others,"38.894868006362763,-76.948601756127715",38.8948602173515
cluster 19,001702,property,-77.0116665633542,2019-03-28T11:15:27.000,theft f/auto,day,144752,4,4,2019,property|theft f/auto,,4D1,401,7,001702 2,precinct 63,398989,6600  - 6699 block of 1st street nw,2019-03-28T10:34:14.000,19052045,theft f/auto,19052045-01,4B,2019-03-28T16:33:09.000Z,others,"38.970692627637547,-77.011668854849091",38.9706848256945
cluster 38,007409,property,-76.975072591155,2019-04-02T11:32:02.000,theft/other,day,130679,7,8,2019,property|theft/other,,7D2,704,6,007409 3,precinct 116,402164,1900 - 2099 block of mississippi avenue se,2019-03-21T10:52:53.000,19055284,theft/other,19055284-01,8B,2019-04-02T15:30:16.000Z,others,"38.84391608777895,-76.975074863514948",38.8439083100377
cluster 39,009811,property,-76.9998963541325,2019-04-02T11:43:29.000,motor vehicle theft,day,128664,7,8,2019,property|motor vehicle theft,,7D3,706,8,009811 1,precinct 125,400009,4230 - 4299 block of 4th street se,2019-04-01T16:00:40.000,19055287,motor vehicle theft,19055287-01,8D,2019-04-02T15:43:12.000Z,others,"38.825766702378161,-76.99989863311778",38.825758929226
cluster 24,009000,property,-76.9526904146746,2019-04-02T10:06:30.000,theft/other,day,139117.85,5,5,2019,property|theft/other,,5D2,503,6,009000 1,precinct 139,404102.67,2400 - 2499 block of market street ne,2019-04-02T10:02:30.000,19055308,theft/other,19055308-01,5C,2019-04-02T16:19:10.000Z,others,"38.919929611473258,-76.952692684691257",38.9199218175591
cluster 6,010100,property,-77.0355600852108,2019-03-31T15:30:28.000,theft/other,day,137186.09,2,2,2019,property|theft/other,downtown,2D3,207,6,010100 2,precinct 17,396915.49,1500 - 1599 block of k street nw,2019-03-31T10:00:26.000,19055347,theft/other,19055347-01,2B,2019-04-02T17:20:09.000Z,others,"38.902531818505089,-77.03556237997617",38.9025240311872
cluster 18,002600,property,-77.0364486389349,2019-04-07T11:00:04.000,theft f/auto,day,141153,4,4,2019,property|theft f/auto,,4D3,404,7,002600 1,precinct 47,396840,3700  - 3899 block of 16th street nw,2019-04-06T23:00:23.000,19058582,theft f/auto,19058582-01,4A,2019-04-07T15:24:56.000Z,others,"38.938266768604883,-77.036450936162765",38.9382589741179
cluster 37,007406,property,-76.9903452734334,2019-04-07T13:29:12.000,theft f/auto,day,132067,7,8,2019,property|theft f/auto,,7D1,703,7,007406 1,precinct 118,400838,2600 - 2657 block of douglass place se,2019-04-07T12:59:25.000,19058626,theft f/auto,19058626-01,8C,2019-04-07T17:57:57.000Z,others,"38.856422060508045,-76.990347551308957",38.8564142808092
cluster 25,008402,property,-76.9932099984425,2019-04-07T13:20:26.000,theft f/auto,day,136784,1,6,2019,property|theft f/auto,,1D2,104,7,008402 2,precinct 82,400589,900 - 999 block of g street ne,2019-04-07T11:50:17.000,19058638,theft f/auto,19058638-01,6A,2019-04-07T17:59:07.000Z,others,"38.898914863523167,-76.993212279798954",38.8989070753559
cluster 4,000202,property,-77.0685818957818,2019-04-12T08:45:21.000,theft f/auto,day,138316,2,2,2019,property|theft f/auto,,2D2,206,7,000202 1,precinct 6,394052,3400 - 3499 block of reservoir road nw,2019-04-12T01:00:19.000,19061868,theft f/auto,19061868-01,2E,2019-04-12T13:55:25.000Z,others,"38.912695724522607,-77.068584201450335",38.9126879363886
cluster 18,002202,property,-77.0149279622592,2019-04-12T13:53:20.000,theft/other,day,142465,4,4,2019,property|theft/other,,4D2,407,6,002202 1,precinct 55,398706,200  - 299 block of emerson street nw,2019-04-12T12:14:52.000,19061978,theft/other,19061978-01,4D,2019-04-12T18:26:10.000Z,others,"38.95009037080257,-77.014930253507941",38.9500825731302
cluster 4,000202,property,-77.0628335820436,2019-04-10T12:30:01.000,theft/other,evening,137528,2,2,2019,property|theft/other,georgetown,2D2,206,6,000202 3,precinct 6,394550,1200 - 1237 block of wisconsin avenue nw,2019-04-10T12:25:30.000,19062012,theft/other,19062012-01,2E,2019-04-12T23:03:42.000Z,others,"38.905600379438127,-77.062835885488312",38.9055925925196
cluster 15,000502,property,-77.055497287206,2019-04-18T16:01:17.000,theft/other,evening,140277,2,3,2019,property|theft/other,,2D2,204,6,000502 2,precinct 26,395188,3000 - 3199 block of connecticut avenue nw,2019-04-18T16:00:43.000,19065883,theft/other,19065883-01,3C,2019-04-18T21:45:34.000Z,others,"38.930368000715738,-77.055499589882345",38.9303602085318
cluster 25,008301,property,-77.0005763944071,2019-04-18T18:30:29.000,theft/other,evening,136696,1,6,2019,property|theft/other,,1D2,104,6,008301 1,precinct 84,399950,600 - 699 block of 4th street ne,2019-04-18T09:00:22.000,19065952,theft/other,19065952-01,6C,2019-04-18T22:39:14.000Z,others,"38.898122323237224,-77.000578678009262",38.8981145355043
cluster 23,008802,property,-76.9820154636605,2019-04-18T18:45:21.000,theft/other,evening,137150,5,5,2019,property|theft/other,,5D3,506,6,008802 2,precinct 77,401560,900 - 999 block of bladensburg road ne,2019-04-18T18:35:15.000,19065972,theft/other,19065972-01,5D,2019-04-18T22:59:08.000Z,others,"38.902210736522115,-76.982017741731411",38.9022029472732
cluster 5,005600,property,-77.0549549553222,,theft f/auto,evening,136881.69,2,2,2019,property|theft f/auto,,2D3,207,7,005600 2,precinct 3,395232.98,2500 - 2699 block of virginia avenue nw,2019-04-18T18:03:48.000,19065986,theft f/auto,19065986-01,2A,2019-04-18T23:06:09.000Z,others,"38.899782159681543,-77.054957255958271",38.8997743736418
cluster 21,009204,property,-76.9958484268127,2019-04-18T18:35:10.000,theft f/auto,evening,139621,5,5,2019,property|theft f/auto,,5D1,502,7,009204 2,precinct 74,400360,701 709  block of edgewood street ne,2019-04-18T18:25:28.000,19066000,theft f/auto,19066000-01,5E,2019-04-19T00:05:48.000Z,others,"38.92447165089208,-76.995850710551139",38.92446385767
cluster 4,000202,property,-77.0650962193915,2019-04-18T20:40:33.000,theft f/auto,evening,137885,2,2,2019,property|theft f/auto,,2D2,206,7,000202 2,precinct 6,394354,3230 - 3299 block of p street nw,2019-04-18T20:13:37.000,19066063,theft f/auto,19066063-01,2E,2019-04-19T00:40:25.000Z,others,"38.908815121848384,-77.065098523737277",38.9088073343664
cluster 37,007407,violent,-76.9883056012864,2019-04-18T20:00:19.000,assault w/dangerous weapon,evening,132357,7,8,2019,violent|assault w/dangerous weapon,,7D1,703,3,007407 2,precinct 119,401015,1416 1431  block of howard road se,2019-04-18T19:50:21.000,19066074,assault w/dangerous weapon,19066074-01,8A,2019-04-19T03:00:16.000Z,others,"38.85903431767106,-76.988307878685887",38.8590265373689
cluster 13,000902,property,-77.1030290883448,2019-03-23T14:15:34.000,theft f/auto,evening,139692,2,3,2019,property|theft f/auto,,2D2,205,7,000902 2,precinct 8,391066,5100 - 5199 block of sherier place nw,2019-03-23T12:35:35.000,19048977,theft f/auto,19048977-01,3D,2019-03-23T23:27:40.000Z,others,"38.925065895870844,-77.103031405495372",38.9250581065323
cluster 2,002802,property,-77.0325915444334,2019-03-23T17:03:35.000,theft/other,evening,140033,3,1,2019,property|theft/other,,3D1,302,6,002802 1,precinct 36,397174,3000 - 3099 block of 14th street nw,2019-03-23T15:18:57.000,19049016,theft/other,19049016-01,1A,2019-03-23T21:19:10.000Z,others,"38.928178605431327,-77.032593839842562",38.928170812833
cluster 11,001001,property,-77.0795605303295,2019-03-23T16:22:45.000,theft f/auto,evening,141942,2,3,2019,property|theft f/auto,,2D1,202,7,001001 4,precinct 30,393103,4300 - 4399 block of nebraska avenue nw,2019-03-23T15:53:06.000,19049023,theft f/auto,19049023-01,3E,2019-03-24T00:33:23.000Z,others,"38.945352916860365,-77.079562841417513",38.9453451225577
cluster 20,009504,property,-76.9907957659657,2019-03-28T13:33:51.000,theft/other,day,140980,5,5,2019,property|theft/other,,5D2,504,6,009504 1,precinct 68,400798,3800 - 3899 block of 12th street ne,2019-03-27T15:53:19.000,19052124,theft/other,19052124-01,5B,2019-03-28T17:33:40.000Z,others,"38.936713655212344,-76.990798048878403",38.9367058593345
cluster 11,001001,property,-77.0835533453548,2019-03-28T14:13:32.000,theft/other,evening,143179,2,3,2019,property|theft/other,,2D1,202,6,001001 1,precinct 31,392758,5100 - 5199 block of wisconsin avenue nw,2019-03-28T14:07:46.000,19052167,theft/other,19052167-01,3E,2019-03-28T22:03:19.000Z,others,"38.956493371343406,-77.083555658369932",38.9564855749471
cluster 2,003000,property,-77.0327305534988,2019-03-28T17:30:42.000,theft/other,evening,140182,3,1,2019,property|theft/other,,3D1,302,6,003000 1,precinct 39,397162,3100 - 3299 block of 14th street nw,2019-02-28T11:00:33.000,19052187,theft/other,19052187-01,1A,2019-03-28T22:07:49.000Z,others,"38.929520805242319,-77.03273284903338",38.9295130123787
cluster 2,002802,property,-77.0325915444334,2019-03-19T20:00:50.000,theft/other,day,140033,3,1,2019,property|theft/other,,3D1,302,6,002802 1,precinct 36,397174,3000 - 3099 block of 14th street nw,2019-03-15T15:00:00.000,19055389,theft/other,19055389-01,1A,2019-04-02T18:41:28.000Z,others,"38.928178605431327,-77.032593839842562",38.928170812833
cluster 32,009603,property,-76.9539847303726,2019-04-02T16:03:17.000,burglary,evening,135998,6,7,2019,property|burglary,,6D3,603,5,009603 3,precinct 102,403992,100 222  block of 35th street ne,2019-04-02T14:18:19.000,19055424,burglary,19055424-01,7F,2019-04-02T23:21:43.000Z,others,"38.891825421846264,-76.95398699907966",38.8918176336492
cluster 8,010100,property,-77.0336511575513,2019-04-02T15:59:09.000,theft/other,evening,136991,2,2,2019,property|theft/other,downtown,2D3,207,6,010100 1,precinct 17,397081,800 - 899 block of 15th street nw,2019-04-02T14:51:46.000,19055432,theft/other,19055432-01,2C,2019-04-02T20:00:40.000Z,others,"38.900774943411975,-77.033653451614924",38.9007671563771
cluster 33,009906,property,-76.9360972503254,2019-04-02T15:30:50.000,theft f/auto,evening,135723,6,7,2019,property|theft f/auto,,6D3,604,7,009906 1,precinct 104,405544,1 - 99 block of 46th street se,2019-04-02T14:15:44.000,19055456,theft f/auto,19055456-01,7E,2019-04-02T20:38:36.000Z,others,"38.889339702652009,-76.93609951330923",38.8893319142915
cluster 18,003200,property,-77.0237025544412,2019-04-02T16:54:37.000,theft f/auto,evening,140954,4,1,2019,property|theft f/auto,,4D3,409,7,003200 1,precinct 43,397945,742  - 828 block of rock creek church road nw,2019-04-02T16:23:15.000,19055461,theft f/auto,19055461-01,1A,2019-04-03T00:30:31.000Z,others,"38.936477397322733,-77.023704847589741",38.9364696027203
cluster 31,007806,property,-76.9388741288851,,theft f/auto,evening,137346,6,7,2019,property|theft f/auto,,6D1,602,7,007806 2,precinct 93,405302,1000 - 1099 block of 44th street ne,2019-04-02T16:24:19.000,19055468,theft f/auto,19055468-01,7D,2019-04-02T21:12:02.000Z,others,"38.903961769463706,-76.938876393624156",38.9039539782561
cluster 31,007808,property,-76.9225161004504,2019-04-02T14:40:42.000,theft f/auto,evening,136027,6,7,2019,property|theft f/auto,,6D1,608,7,007808 1,precinct 96,406722,200 - 299 block of 55th street ne,2019-04-01T18:45:07.000,19055478,theft f/auto,19055478-01,7C,2019-04-03T03:00:21.000Z,others,"38.892070030624055,-76.92251835936942",38.8920622412078
cluster 8,005800,property,-77.029626551764,2019-04-02T20:59:06.000,theft/other,evening,136664,2,2,2019,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2019-04-02T18:53:28.000,19055549,theft/other,19055549-01,2C,2019-04-03T21:29:47.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
cluster 3,004400,property,-77.0260028704617,2019-04-07T15:09:07.000,theft/other,evening,138975,3,1,2019,property|theft/other,,3D2,305,6,004400 1,precinct 22,397745,2100 - 2199 block of 10th street nw,2019-04-07T15:00:24.000,19058726,theft/other,19058726-01,1B,2019-04-07T21:13:16.000Z,others,"38.918649452530907,-77.026005163236078",38.9186416616071
cluster 22,011100,property,-76.9668555327568,2019-04-07T19:28:20.000,theft/other,evening,139878,5,5,2019,property|theft/other,,5D2,503,6,011100 1,precinct 71,402874,2705 - 2899 block of south dakota avenue ne,2019-04-07T17:30:17.000,19058762,theft/other,19058762-01,5C,2019-04-09T19:56:39.000Z,others,"38.926782163477526,-76.966857807604768",38.9267743687093
cluster 34,009902,property,-76.9489760758662,2019-04-07T22:21:28.000,motor vehicle theft,midnight,133350,6,7,2019,property|motor vehicle theft,,6D2,605,8,009902 1,precinct 110,404428,3900 - 3999 block of alabama avenue se,2019-04-07T21:43:42.000,19058879,motor vehicle theft,19058879-01,7B,2019-04-08T05:04:43.000Z,others,"38.867969115551034,-76.948978341561656",38.8679613319828
cluster 26,007000,property,-76.9932114686494,2019-04-12T14:30:44.000,theft f/auto,evening,135069,1,6,2019,property|theft f/auto,capitol hill,1D2,107,7,007000 2,precinct 90,400589,900 - 999 block of pennsylvania avenue se,2019-04-12T13:00:29.000,19062068,theft f/auto,19062068-01,6B,2019-04-12T21:35:18.000Z,others,"38.883465501515978,-76.993213749064282",38.8834577164655
cluster 33,009905,property,-76.9274230635871,2019-04-12T15:20:49.000,theft f/auto,evening,135151,6,7,2019,property|theft f/auto,,6D3,604,7,009905 1,precinct 104,406297,5100 - 5299 block of call place se,2019-04-12T08:30:43.000,19062154,theft f/auto,19062154-01,7E,2019-04-13T02:25:48.000Z,others,"38.884181839591271,-76.927425323554985",38.8841740519494
cluster 32,007708,violent,-76.9597977752583,,assault w/dangerous weapon,evening,135308,6,7,2019,violent|assault w/dangerous weapon,,6D3,603,3,007708 2,precinct 132,403488,200 - 317 block of 33rd street se,2019-04-12T17:22:46.000,19062170,assault w/dangerous weapon,19062170-01,7B,2019-04-12T23:39:57.000Z,others,"38.885611785290287,-76.959800045397643",38.8856039985633
cluster 37,007401,violent,-76.9978453384508,2019-04-11T22:40:24.000,assault w/dangerous weapon,evening,132824,7,8,2019,violent|assault w/dangerous weapon,anacostia,7D1,703,3,007401 1,precinct 119,400187,interstate 295 northbound and ramp to suitland parkway se northbound,2019-04-11T22:20:44.000,19062198,assault w/dangerous weapon,19062198-01,8C,2019-04-13T02:07:21.000Z,gun,"38.863241815666235,-76.99784761907668",38.8632340348697
